code,,tasks
33-3012.00,33-3012,"['', 'Provide to supervisors oral and written reports of the quality and quantity of work performed by inmates, inmate disturbances and rule violations, and unusual occurrences.', 'Assign duties to inmates, providing instructions as needed.', ' 5 ofAll 27 displayed (Show allShow top 5)', 'Inspect mail for the presence of contraband.', 'Search prisoners and vehicles and conduct shakedowns of cells for valuables and contraband, such as weapons or drugs.', 'Search for and recapture escapees.', 'Supervise and coordinate work of other correctional service officers.', 'Investigate crimes that have occurred within an institution, or assist police in their investigations of crimes and inmates.', 'Use nondisciplinary tools and equipment, such as a computer.', 'Drive passenger vehicles and trucks used to transport inmates to other institutions, courtrooms, hospitals, and work sites.', 'Counsel inmates and respond to legitimate questions, concerns, and requests.', 'Occupation-Specific Information', 'Conduct fire, safety, and sanitation inspections.', 'Take fingerprints of arrestees, prisoners, or the general public.', 'Participate in required job training.', 'Guard facility entrances to screen visitors.', 'Arrange daily schedules for prisoners, including library visits, work assignments, family visits, and counseling appointments.', 'Use weapons, handcuffs, and physical force to maintain discipline and order among prisoners.', 'Record information, such as prisoner identification, charges, and incidents of inmate disturbance, keeping daily logs of prisoner activities.', 'Take prisoners into custody and escort to locations within and outside of facility, such as visiting room, courtroom, or airport.', 'Conduct head counts to ensure that each prisoner is present.', 'Sponsor inmate recreational activities, such as newspapers and self-help groups.', 'Process or book convicted individuals into prison.', 'Settle disputes between inmates.', 'Inspect conditions of locks, window bars, grills, doors, and gates at correctional facilities to ensure security and help prevent escapes.', 'Tasks', 'Issue clothing, tools, and other authorized items to inmates.', 'Monitor conduct of prisoners in housing unit, or during work or recreational activities, according to established policies, regulations, and procedures, to prevent escape or violence.', 'Serve meals, distribute commissary items, and dispense prescribed medication to prisoners.', 'Maintain records of prisoners' identification and charges.']"
43-4021.00,43-4021,"['', 'Type acknowledgment letters to persons sending correspondence.', 'Confer with company personnel regarding feasibility of complying with writers' requests.', 'Review correspondence for format and typographical accuracy, assemble the information into a prescribed form with the correct number of copies, and submit it to an authorized official for signature.', 'Present clear and concise explanations of governing rules and regulations.', 'Compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.', 'Compile data from records to prepare periodic reports.', 'Occupation-Specific Information', 'Maintain files and control records to show correspondence activities.', 'Route correspondence to other departments for reply.', 'Process orders for goods requested in correspondence.', 'Compile data pertinent to manufacture of special products for customers.', 'Complete form letters in response to requests or problems identified by correspondence.', 'Submit completed documents to typists for typing in final form, and instruct typists in matters, such as format, addresses, addressees, and the necessary number of copies.', 'Respond to internal and external requests for the release of information contained in medical records, copying medical records, and selective extracts in accordance with laws and regulations.', 'Read incoming correspondence to ascertain nature of writers' concerns and to determine disposition of correspondence.', 'Tasks', 'Prepare records for shipment by certified mail.', 'Ensure that money collected is properly recorded and secured.', 'Prepare documents and correspondence, such as damage claims, credit and billing inquiries, invoices, and service complaints.', ' 5 ofAll 20 displayed (Show allShow top 5)', 'Gather records pertinent to specific problems, review them for completeness and accuracy, and attach records to correspondence as necessary.', 'Compute costs of records furnished to requesters, and write letters to obtain payment.', 'Obtain written authorization to access required medical information.']"
13-1051.00,13-1051,"['', 'Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.', 'Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates.', 'Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.', 'Occupation-Specific Information', 'Visit site and record information about access, drainage and topography, and availability of utility services.', 'Set up cost monitoring and reporting systems and procedures.', 'Conduct special studies to develop and establish standard hour and related cost data or to reduce cost.', 'Prepare and maintain a directory of suppliers, contractors and subcontractors.', 'Review material and labor requirements to decide whether it is more cost-effective to produce or purchase components.', 'Establish and maintain tendering process, and conduct negotiations.', 'Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues.', 'Tasks', 'Prepare estimates for use in selecting vendors or subcontractors.', 'Collect historical cost data to estimate costs for current or future products.', 'Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.']"
39-3092.00,39-3092,"['', 'Assign lockers to employees and maintain locker rooms, dressing rooms, wig rooms, or costume storage or laundry areas.', 'Clean and press costumes before and after performances and perform any minor repairs.', 'Recommend vendors and monitor their work.', 'Care for non-clothing items, such as flags, table skirts, or draperies.', 'Occupation-Specific Information', 'Collaborate with production designers, costume designers, or other production staff to discuss and execute costume design details.', 'Provide managers with budget recommendations and take responsibility for budgetary line items related to costumes, storage, or makeup needs.', 'Design or construct costumes or send them to tailors for construction, major repairs, or alterations.', 'Participate in the hiring, training, scheduling, or supervision of alteration workers.', 'Create worksheets for dressing lists, show notes, or costume checks.', 'Arrange costumes in order of use to facilitate quick-change procedures for performances.', 'Direct the work of wardrobe crews during dress rehearsals or performances.', 'Study books, pictures, or examples of period clothing to determine styles worn during specific periods in history.', 'Inventory stock to determine types or conditions of available costuming.', 'Examine costume fit on cast members and sketch or write notes for alterations.', 'Monitor, maintain, or secure inventories of costumes, wigs, or makeup, providing keys or access to assigned directors, costume designers, or wardrobe mistresses/masters.', ' 5 ofAll 21 displayed (Show allShow top 5)', 'Tasks', 'Review scripts or other production information to determine a story's locale or period, as well as the number of characters and required costumes.', 'Purchase, rent, or requisition costumes or other wardrobe necessities.', 'Provide dressing assistance to cast members or assign cast dressers to assist specific cast members with costume changes.', 'Distribute costumes or related equipment and keep records of item status.', 'Check the appearance of costumes on stage or under lights to determine whether desired effects are being achieved.', 'Return borrowed or rented items when productions are complete and return other items to storage.']"
41-2021.00,41-2021,"['', 'Provide information about rental items, such as availability, operation, or description.', 'Advise customers on use and care of merchandise.', 'Greet customers and discuss the type, quality, and quantity of merchandise sought for rental.', 'Keep records of transactions and of the number of customers entering an establishment.', 'Explain rental fees, policies, and procedures.', 'Occupation-Specific Information', 'Prepare rental forms, obtaining customer signature and other information, such as required licenses.', 'Receive orders for services, such as rentals, repairs, dry cleaning, and storage.', 'Receive, examine, and tag articles to be altered, cleaned, stored, or repaired.', 'Reserve items for requested times and keep records of items rented.', 'Answer telephones to provide information and receive orders.', ' 5 ofAll 16 displayed (Show allShow top 5)', 'Prepare merchandise for display or for purchase or rental.', 'Recommend and provide advice on a wide variety of products and services.', 'Compute charges for merchandise or services and receive payments.', 'Tasks', 'Rent items, arrange for provision of services to customers, and accept returns.', 'Allocate equipment to participants in sporting events or recreational activities.', 'Inspect and adjust rental items to meet needs of customer.']"
43-5021.00,43-5021,"['', 'Receive messages or materials to be delivered, and information on recipients, such as names, addresses, telephone numbers, and delivery instructions, communicated via telephone, two-way radio, or in person.', 'Walk, ride bicycles, drive vehicles, or use public conveyances to reach destinations to deliver messages or materials.', 'Deliver and pick up medical records, lab specimens, and medications to and from hospitals and other medical facilities.', 'Collect, seal, and stamp outgoing mail, using postage meters and envelope sealers.', 'Occupation-Specific Information', 'Load vehicles with listed goods, ensuring goods are loaded correctly and taking precautions with hazardous goods.', 'Obtain signatures and payments, or arrange for recipients to make payments.', 'Use telephone to deliver verbal messages.', 'Record information, such as items received and delivered and recipients' responses to messages.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Sort items to be delivered according to the delivery route.', 'Perform general office or clerical work, such as filing materials, operating duplicating machines, or running errands.', 'Deliver messages and items, such as newspapers, documents, and packages, between establishment departments and to other establishments and private homes.', 'Unload and sort items collected along delivery routes.', 'Tasks', 'Perform routine maintenance on delivery vehicles, such as monitoring fluid levels and replenishing fuel.', 'Plan and follow the most efficient routes for delivering goods.', 'Check with home offices after completed deliveries to confirm deliveries and collections and to receive instructions for other deliveries.', 'Open, sort, and distribute incoming mail.', 'Unload goods from large trucks, and load them onto smaller delivery vehicles.']"
27-3092.00,27-3092,"['', 'File a legible transcript of records of a court case with the court clerk's office.', 'Take notes in shorthand or use a stenotype or shorthand machine that prints letters on a paper tape.', 'Transcribe recorded proceedings in accordance with established formats.', 'Occupation-Specific Information', 'Proofread transcripts for correct spelling of words.', 'Record verbatim proceedings of courts, legislative assemblies, committee meetings, and other proceedings, using computerized recording equipment, electronic stenograph machines, or stenomasks.', 'File and store shorthand notes of court session.', 'Ask speakers to clarify inaudible statements.', 'Record depositions and other proceedings for attorneys.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Provide transcripts of proceedings upon request of judges, lawyers, or the public.', 'Tasks', 'Type court orders for judges.', 'Log and store exhibits from court proceedings.', 'Verify accuracy of transcripts by checking copies against original records of proceedings and accuracy of rulings by checking with judges.', 'Respond to requests during court sessions to read portions of the proceedings already recorded.', 'Record symbols on computer storage media and use computer aided transcription to translate and display them as text.']"
43-4031.00,43-4031,"['', 'Examine legal documents submitted to courts for adherence to laws or court procedures.', 'Evaluate information on applications to verify completeness and accuracy and to determine whether applicants are qualified to obtain desired licenses.', 'Record and edit the minutes of meetings and distribute to appropriate officials or staff members.', 'Perform contract administration duties, assisting with bid openings or the awarding of contracts.', 'Answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.', 'Research information in the municipal archives upon request of public officials or private citizens.', 'Prepare dockets or calendars of cases to be called.', 'Verify the authenticity of documents, such as foreign identification or immigration documents.', 'Issue various permits and licenses, such as marriage, fishing, hunting, and dog licenses, and collect appropriate fees.', 'Train other workers or coordinate their work, as necessary.', 'Occupation-Specific Information', 'Perform budgeting duties, such as assisting in budget preparation, expenditure review, or budget administration.', 'Respond to requests for information from the public, other municipalities, state officials, or state and federal legislative offices.', 'Record and maintain all vital and fiscal records and accounts.', 'Question applicants to obtain required information, such as name, address, or age, and record data on prescribed forms.', 'Prepare ordinances, resolutions, or proclamations so that they can be executed, recorded, archived, or distributed.', 'Coordinate or maintain office tracking systems for correspondence or follow-up actions.', 'Perform record checks on past or current licensees, as required by investigations.', 'Prepare documents recording the outcomes of court proceedings.', 'Issue public notification of all official activities or meetings.', 'Plan or direct the maintenance, filing, safekeeping, or computerization of all municipal documents.', 'Answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.', 'Participate in the administration of municipal elections, such as preparation or distribution of ballots, appointment or training of election officers, or tabulation or certification of results.', 'Prepare meeting agendas or packets of related information.', 'Tasks', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Prepare and issue orders of the court, such as probation orders, release documentation, sentencing information, or summonses.', 'Code information on license applications for entry into computers.', 'Perform general office duties, such as taking or transcribing dictation, typing or proofreading correspondence, distributing or filing official forms, or scheduling appointments.', 'Instruct parties about timing of court appearances.', 'Search files and contact witnesses, attorneys, or litigants to obtain information for the court.', 'Perform administrative tasks, such as answering telephone calls, filing court documents, or maintaining office supplies or equipment.', 'Record case dispositions, court orders, or arrangements made for payment of court fees.']"
27-1012.00,27-1012,"['', 'Develop product packaging, display, and pricing strategies.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Fabricate patterns or templates to guide craft production.', 'Occupation-Specific Information', 'Plan and attend craft shows to market products.', 'Create functional or decorative objects by hand, using a variety of methods and materials.', 'Select materials for use based on strength, color, texture, balance, weight, size, malleability and other characteristics.', 'Sketch or draw objects to be crafted.', 'Create prototypes or models of objects to be crafted.', 'Apply finishes to objects being crafted.', 'Confer with customers to assess customer needs or obtain feedback.', 'Research craft trends, venues, and customer buying patterns to inspire designs and marketing strategies.', 'Tasks', 'Set specifications for materials, dimensions, and finishes.', 'Develop designs using specialized computer software.', 'Develop concepts or creative ideas for craft objects.', 'Cut, shape, fit, join, mold, or otherwise process materials, using hand tools, power tools, or machinery.', 'Advertise products and work, using media such as internet advertising and brochures.']"
53-7021.00,53-7021,"['', 'Inspect cables or grappling devices for wear and install or replace cables, as needed.', 'Occupation-Specific Information', 'Weigh bundles, using floor scales, and record weights for company records.', 'Direct helpers engaged in placing blocking or outrigging under cranes.', 'Clean, lubricate, and maintain mechanisms such as cables, pulleys, or grappling devices, making repairs, as necessary.', 'Direct truck drivers backing vehicles into loading bays and cover, uncover, or secure loads for delivery.', 'Move levers, depress foot pedals, or turn dials to operate cranes, cherry pickers, electromagnets, or other moving equipment for lifting, moving, or placing loads.', 'Inspect bundle packaging for conformance to regulations or customer requirements, and remove and batch packaging tickets.', 'Determine load weights and check them against lifting capacities to prevent overload.', 'Inspect and adjust crane mechanisms or lifting accessories to prevent malfunctions or damage.', 'Load or unload bundles from trucks, or move containers to storage bins, using moving equipment.', 'Review daily work or delivery schedules to determine orders, sequences of deliveries, or special loading instructions.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Tasks']"
13-2041.00,13-2041,"['', 'Occupation-Specific Information', 'Contact customers to collect payments on delinquent accounts.', 'Confer with credit association and other business representatives to exchange credit information.', 'Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans.', 'Prepare reports that include the degree of risk involved in extending credit or lending money.', 'Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.', 'Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations.', 'Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity.', 'Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.', 'Generate financial ratios, using computer programs, to evaluate customers' financial status.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Consult with customers to resolve complaints and verify financial and credit transactions.', 'Review individual or commercial customer files to identify and select delinquent accounts for collection.', 'Tasks']"
43-4041.00,43-4041,"['', 'Prepare credit cards or charge account plates.', 'Evaluate customers' computerized credit records and payment histories to decide whether to approve new credit, based on predetermined standards.', 'Examine city directories and public records to verify residence property ownership, bankruptcies, liens, arrest record, or unpaid taxes of applicants.', 'Contact former employers and other acquaintances to verify applicants' references, employment, health history, or social behavior.', 'Occupation-Specific Information', 'Call customers to collect payment on delinquent accounts.', 'Receive charge slips or credit applications by mail, or receive information from salespeople or merchants by telephone.', 'Relay credit report information to subscribers by mail or by telephone.', 'Interview credit applicants by telephone or in person to obtain personal and financial data needed to complete credit report.', 'Prepare reports of findings and recommendations.', ' 5 ofAll 16 displayed (Show allShow top 5)', 'Review individual or commercial customer files to identify and select delinquent accounts for collection.', 'Mail charge statements to customers.', 'File sales slips in customers' ledgers for billing purposes.', 'Obtain information about potential creditors from banks, credit bureaus, and other credit services, and provide reciprocal information if requested.', 'Tasks', 'Keep records of customers' charges and payments.', 'Consult with customers to resolve complaints or verify financial or credit transactions.', 'Compile and analyze credit information gathered by investigation.']"
13-2071.00,13-2071,"['', 'Interview clients by telephone or in person to gather financial information.', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Explain services or policies to clients, such as debt management program rules, advantages and disadvantages of using services, or creditor concession policies.', 'Review changes to financial, family, or employment situations to determine whether changes to existing debt management plans, spending plans, or budgets are needed.', 'Conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments.', 'Teach courses or seminars on topics, such as budgeting, management of personal finances, or financial literacy.', 'Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.', 'Advise clients on housing matters, such as housing rental, homeownership, mortgage delinquency, or foreclosure prevention.', 'Occupation-Specific Information', 'Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.', 'Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.', 'Explain loan information to clients, such as available loan types, eligibility requirements, or loan restrictions.', 'Explain general financial topics to clients, such as credit report ratings, bankruptcy laws, consumer protection laws, wage attachments, or collection actions.', 'Estimate time for debt repayment, given amount of debt, interest rates, and available funds.', 'Calculate clients' available monthly income to meet debt obligations.', 'Assess clients' overall financial situations by reviewing income, assets, debts, expenses, credit reports, or other financial information.', 'Disburse funds from client accounts to creditors.', 'Create action plans to assist clients in obtaining permanent housing via rent or mortgage programs.', 'Tasks', 'Negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or payment plans.', 'Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.', 'Refer clients to social service or community resources for needs beyond those of credit or debt counseling.', 'Recommend educational materials or resources to clients on matters, such as financial planning, budgeting, or credit.', 'Prepare written documents to establish contracts with or communicate financial recommendations to clients.', 'Recommend strategies for clients to meet their financial goals, such as borrowing money through loans or loan programs, declaring bankruptcy, making budget adjustments, or enrolling in debt management plans.', 'Investigate missing checks, payment histories, held funds, returned checks, or other related issues to resolve client or creditor problems.']"
39-4012.00,39-4012,"['', 'Pulverize remaining bone fragments into smaller pieces, using specialized equipment, such as a cremulator or grinder.', 'Occupation-Specific Information', 'Read documentation to confirm the identity of the deceased.', 'Sweep or vacuum the cremation chamber to retrieve remains for storage in an urn or other container.', 'Transport the deceased to a funeral home or crematory using a van, hearse, or other vehicle.', 'Document divided remains to ensure parts are not misplaced.', 'Embalm, dress, or otherwise prepare the deceased for viewing.', 'Clean the crematorium, including tables, floors, and equipment.', 'Explain the cremation process to family or friends of the deceased.', 'Place corpses into crematory machines to reduce remains to bone fragments using flame, heat, or alkaline hydrolysis.', 'Offer counsel and comfort to bereaved families or friends.', 'Pick up and handle human or pet remains in a respectful manner.', 'Tasks', 'Remove jewelry, watches, or other personal items from the deceased prior to cremation.', ' 5 ofAll 12 displayed (Show allShow top 5)']"
25-1111.00,25-1111,"['', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Provide professional consulting services to government or industry.', 'Act as advisers to student organizations.', 'Occupation-Specific Information', 'Advise students on academic and vocational curricula and on career issues.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Write letters of recommendation for students.', 'Initiate, facilitate, and moderate classroom discussions.', 'Write grant proposals to procure external research funding.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as criminal law, defensive policing, and investigation techniques.', 'Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.', 'Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Maintain student attendance records, grades, and other required records.', 'Perform administrative duties, such as serving as department head.', 'Evaluate and grade students' class work, assignments, and papers.', 'Maintain regularly scheduled office hours to advise and assist students.', 'Tasks', 'Participate in campus and community events.', 'Participate in student recruitment, registration, and placement activities.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', 'Collaborate with colleagues to address teaching and research issues.', 'Select and obtain materials and supplies, such as textbooks.']"
29-1141.03,29-1141,"['', 'Coordinate patient care conferences.', 'Set up and monitor medical equipment and devices such as cardiac monitors, mechanical ventilators and alarms, oxygen delivery devices, transducers, or pressure lines.', 'Prioritize nursing care for assigned critically ill patients, based on assessment data or identified needs.', 'Document patients' medical histories and assessment findings.', 'Supervise and monitor unit nursing staff.', 'Assist physicians with procedures such as bronchoscopy, endoscopy, endotracheal intubation, or elective cardioversion.', 'Compile and analyze data obtained from monitoring or diagnostic tests.', 'Document patients' treatment plans, interventions, outcomes, or plan revisions.', 'Assess family adaptation levels and coping skills to determine whether intervention is needed.', 'Identify malfunctioning equipment or devices.', 'Plan, provide, or evaluate educational programs for nursing staff, interdisciplinary health care team members, or community members.', 'Ensure that equipment or devices are properly stored after use.', 'Occupation-Specific Information', 'Administer medications intravenously, by injection, orally, through gastric tubes, or by other methods.', 'Advocate for patients' and families' needs, or provide emotional support for patients and their families.', 'Assess patients' pain levels or sedation requirements.', 'Evaluate patients' vital signs or laboratory data to determine emergency intervention needs.', 'Participate in the development, review, or evaluation of nursing practice protocols.', 'Conduct pulmonary assessments to identify abnormal respiratory patterns or breathing sounds that indicate problems.', 'Monitor patients' fluid intake and output to detect emerging problems, such as fluid and electrolyte imbalances.', 'Participate in professional organizations and continuing education to improve practice knowledge and skills.', 'Tasks', 'Assess patients' psychosocial status and needs, including areas such as sleep patterns, anxiety, grief, anger, and support systems.', 'Identify patients' age-specific needs and alter care plans as necessary to meet those needs.', 'Perform approved therapeutic or diagnostic procedures, based upon patients' clinical status.', ' 5 ofAll 29 displayed (Show allShow top 5)', 'Collect specimens for laboratory tests.', 'Collaborate with other health care professionals to develop and revise treatment plans, based on identified needs and assessment data.', 'Administer blood and blood products, monitoring patients for signs and symptoms related to transfusion reactions.', 'Monitor patients for changes in status and indications of conditions such as sepsis or shock and institute appropriate interventions.', 'Provide post-mortem care.', 'Identify patients at risk of complications due to nutritional status.']"
33-9091.00,33-9091,"['', 'Communicate traffic and crossing rules and other information to students and adults.', 'Occupation-Specific Information', 'Direct traffic movement or warn of hazards, using signs, flags, lanterns, and hand signals.', 'Report unsafe behavior of children to school officials.', 'Monitor traffic flow to locate safe gaps through which pedestrians can cross streets.', 'Record license numbers of vehicles disregarding traffic signals, and report infractions to appropriate authorities.', 'Learn the location and purpose of street traffic signs within assigned patrol areas.', 'Direct or escort pedestrians across streets, stopping traffic, as necessary.', 'Discuss traffic routing plans and control-point locations with superiors.', 'Guide or control vehicular or pedestrian traffic at such places as street and railroad crossings and construction sites.', 'Inform drivers of detour routes through construction sites.', 'Stop speeding vehicles to warn drivers of traffic laws.', 'Distribute traffic control signs and markers at designated points.', 'Tasks', ' 5 ofAll 12 displayed (Show allShow top 5)']"
51-9021.00,51-9021,"['', 'Transfer materials, supplies, and products between work areas, using moving equipment and hand tools.', 'Weigh or measure materials, ingredients, or products at specified intervals to ensure conformance to requirements.', 'Clean, adjust, and maintain equipment, using hand tools.', 'Load materials into machinery and equipment, using hand tools.', 'Move controls to start, stop, or adjust machinery and equipment that crushes, grinds, polishes, or blends materials.', 'Break mixtures to size, using picks.', 'Dislodge and clear jammed materials or other items from machinery and equipment, using hand tools.', 'Test samples of materials or products to ensure compliance with specifications, using test equipment.', 'Occupation-Specific Information', 'Inspect chains, belts, or scrolls for signs of wear.', ' 5 ofAll 22 displayed (Show allShow top 5)', 'Read work orders to determine production specifications and information.', 'Add or mix chemicals and ingredients for processing, using hand tools or other devices.', 'Notify supervisors of needed repairs.', 'Record data from operations, testing, and production on specified forms.', 'Turn valves to regulate the moisture contents of materials.', 'Tend accessory equipment, such as pumps and conveyors, to move materials or ingredients through production processes.', 'Clean work areas.', 'Tasks', 'Mark bins as to types of mixtures stored.', 'Examine materials, ingredients, or products, visually or with hands, to ensure conformance to established standards.', 'Observe operation of equipment to ensure continuity of flow, safety, and efficient operation, and to detect malfunctions.', 'Reject defective products and readjust equipment to eliminate problems.', 'Collect samples of materials or products for laboratory testing.', 'Set mill gauges to specified fineness of grind.']"
25-4012.00,25-4012,"['', 'Train and supervise curatorial, fiscal, technical, research, and clerical staff, as well as volunteers or interns.', 'Establish specifications for reproductions and oversee their manufacture or select items from commercially available replica sources.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Occupation-Specific Information', 'Study, examine, and test acquisitions to authenticate their origin, composition, history, and to assess their current value.', 'Design, organize, or conduct tours, workshops, and instructional or educational sessions to acquaint individuals with an institution's facilities and materials.', 'Plan and conduct special research projects in area of interest or expertise.', 'Schedule events and organize details, including refreshment, entertainment, decorations, and the collection of any fees.', 'Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials.', 'Confer with the board of directors to formulate and interpret policies, to determine budget requirements, and to plan overall operations.', 'Tasks', 'Attend meetings, conventions, and civic events to promote use of institution's services, to seek financing, and to maintain community alliances.', 'Negotiate and authorize purchase, sale, exchange, or loan of collections.', 'Inspect premises to assess the need for repairs and to ensure that climate and pest control issues are addressed.', 'Provide information from the institution's holdings to other curators and to the public.', 'Arrange insurance coverage for objects on loan or for special exhibits and recommend changes in coverage for the entire collection.', 'Write and review grant proposals, journal articles, institutional reports, and publicity materials.', 'Develop and maintain an institution's registration, cataloging, and basic record-keeping systems, using computer databases.']"
43-4051.00,43-4051,"['', 'Determine charges for services requested, collect deposits or payments, or arrange for billing.', 'Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.', 'Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.', 'Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.', 'Refer unresolved customer grievances to designated departments for further investigation.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Order tests that could determine the causes of product malfunctions.', 'Occupation-Specific Information', 'Review insurance policy terms to determine whether a particular loss is covered by insurance.', 'Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.', 'Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.', 'Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills.', 'Compare disputed merchandise with original requisitions and information from invoices and prepare invoices for returned goods.', 'Solicit sales of new or additional services or products.', 'Review claims adjustments with dealers, examining parts claimed to be defective, and approving or disapproving dealers' claims.', 'Tasks', 'Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.', 'Check to ensure that appropriate changes were made to resolve customers' problems.']"
33-3051.04,33-3051,"['', 'Collect samples of merchandise for examination, appraisal, or testing.', 'Occupation-Specific Information', 'Record and report job-related activities, findings, transactions, violations, discrepancies, and decisions.', 'Investigate applications for duty refunds and petition for remission or mitigation of penalties when warranted.', 'Detain persons found to be in violation of customs or immigration laws and arrange for legal action, such as deportation.', 'Inspect cargo, baggage, and personal articles entering or leaving U.S. for compliance with revenue laws and U.S. customs regulations.', 'Testify regarding decisions at immigration appeals or in federal court.', 'Examine immigration applications, visas, and passports and interview persons to determine eligibility for admission, residence, and travel in the U.S.', 'Institute civil and criminal prosecutions and cooperate with other law enforcement agencies in the investigation and prosecution of those in violation of immigration or customs laws.', 'Locate and seize contraband, undeclared merchandise, and vehicles, aircraft, or boats that contain such merchandise.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Interpret and explain laws and regulations to travelers, prospective immigrants, shippers, and manufacturers.', 'Tasks', 'Determine duty and taxes to be paid on goods.']"
13-1041.08,13-1041,"['', 'Confer with officials in various agencies to facilitate clearance of goods through customs and quarantine.', 'Post bonds for the products being imported or assist clients in obtaining bonds.', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Obtain line releases for frequent shippers of low-risk commodities, high-volume entries, or multiple-container loads.', 'Insure cargo against loss, damage, or pilferage.', 'Occupation-Specific Information', 'Inform importers and exporters of steps to reduce duties and taxes.', 'Calculate duty and tariff payments owed on shipments.', 'Request or compile necessary import documentation, such as customs invoices, certificates of origin, and cargo-control documents.', 'Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.', 'Sign documents on behalf of clients, using powers of attorney.', 'Prepare and process import and export documentation according to customs regulations, laws, or procedures.', 'Maintain relationships with customs brokers in other ports to expedite clearing of cargo.', 'Stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.', 'Monitor or trace the location of goods.', 'Quote duty and tax rates on goods to be imported, based on federal tariffs and excise taxes.', 'Tasks', 'Apply for tariff concessions or for duty drawbacks and other refunds.', 'Clear goods through customs and to their destinations for clients.', 'Suggest best methods of packaging or labeling products.', 'Prepare papers for shippers to appeal duty charges.', 'Classify goods according to tariff coding system.', 'Arrange for transportation, warehousing, or product distribution of imported or exported products.', 'Contract with freight forwarders for destination services.', 'Provide advice on transportation options, types of carriers, or shipping routes.', 'Pay, or arrange for payment of, taxes and duties on shipments.']"
